instrument,contracts,direction,entry_ts_et,exit_ts_et,hold_minutes,entry_price,exit_price,entry_trigger,exit_reason,pnl_ticks,pnl_usd
YM,1,short,2025-02-25 11:00:00,2025-02-25 16:55:00,355.0,43556.0,43737.0,43556.0,close_all_flatten,-181.0,-905.0
YM,1,short,2025-02-25 11:50:00,2025-02-25 16:55:00,305.0,43556.0,43737.0,43556.0,close_all_flatten,-181.0,-905.0
MGC,5,short,2025-02-25 12:00:00,2025-02-25 16:55:00,295.0,2949.8,2929.3,2949.8,close_all_flatten,205.0,1025.0
MNQ,4,short,2025-02-25 12:35:00,2025-02-25 16:55:00,260.0,21210.25,21193.5,21210.25,close_all_flatten,67.0,134.0
MNQ,4,long,2025-02-26 11:00:00,2025-02-26 11:05:00,5.0,21310.0,21370.0,21310.0,profit_target,240.0,480.0
YM,1,long,2025-02-26 11:00:00,2025-02-26 11:05:00,5.0,43777.0,43869.0,43777.0,profit_target,92.0,460.0
YM,1,long,2025-02-26 11:30:00,2025-02-26 11:35:00,5.0,43777.0,43852.0,43777.0,profit_target,75.0,375.0
MNQ,4,long,2025-02-26 12:40:00,2025-02-26 12:50:00,10.0,21310.0,21290.0,21310.0,stop_loss,-80.0,-160.0
MNQ,4,long,2025-02-26 11:00:00,2025-02-26 16:55:00,355.0,21310.0,21275.0,21310.0,close_all_flatten,-140.0,-280.0
YM,1,long,2025-02-26 11:00:00,2025-02-26 16:55:00,355.0,43777.0,43542.0,43777.0,close_all_flatten,-235.0,-1175.0
YM,1,long,2025-02-26 11:30:00,2025-02-26 16:55:00,325.0,43777.0,43542.0,43777.0,close_all_flatten,-235.0,-1175.0
MGC,5,long,2025-02-26 12:00:00,2025-02-26 16:55:00,295.0,2919.8,2931.9,2919.8,close_all_flatten,120.99999999999909,604.9999999999955
MNQ,4,long,2025-02-26 12:40:00,2025-02-26 16:55:00,255.0,21310.0,21275.0,21310.0,close_all_flatten,-140.0,-280.0
YM,1,long,2025-02-27 11:00:00,2025-02-27 11:05:00,5.0,43535.0,43798.0,43535.0,profit_target,263.0,1315.0
MNQ,4,short,2025-02-27 11:00:00,2025-02-27 11:10:00,10.0,21067.5,21087.5,21067.5,stop_loss,-80.0,-160.0
MNQ,4,short,2025-02-27 11:25:00,2025-02-27 11:30:00,5.0,21067.5,21087.5,21067.5,stop_loss,-80.0,-160.0
MNQ,4,short,2025-02-27 11:00:00,2025-02-27 16:55:00,355.0,21067.5,20630.5,21067.5,close_all_flatten,1748.0,3496.0
YM,1,long,2025-02-27 11:00:00,2025-02-27 16:55:00,355.0,43535.0,43314.0,43535.0,close_all_flatten,-221.0,-1105.0
MNQ,4,short,2025-02-27 11:25:00,2025-02-27 16:55:00,330.0,21067.5,20630.5,21067.5,close_all_flatten,1748.0,3496.0
MGC,5,short,2025-02-27 12:00:00,2025-02-27 16:55:00,295.0,2896.9,2888.2,2896.9,close_all_flatten,87.00000000000273,435.00000000001364
MNQ,4,long,2025-02-28 11:00:00,2025-02-28 11:05:00,5.0,20645.5,20749.0,20645.5,profit_target,414.0,828.0
YM,1,long,2025-02-28 11:00:00,2025-02-28 11:05:00,5.0,43505.0,43583.0,43505.0,profit_target,78.0,390.0
MNQ,4,long,2025-02-28 11:15:00,2025-02-28 11:20:00,5.0,20645.5,20705.5,20645.5,profit_target,240.0,480.0
YM,1,long,2025-02-28 11:15:00,2025-02-28 11:20:00,5.0,43505.0,43480.0,43505.0,stop_loss,-25.0,-125.0
MNQ,4,long,2025-02-28 11:00:00,2025-02-28 16:55:00,355.0,20645.5,20905.75,20645.5,close_all_flatten,1041.0,2082.0
YM,1,long,2025-02-28 11:00:00,2025-02-28 16:55:00,355.0,43505.0,43845.0,43505.0,close_all_flatten,340.0,1700.0
MNQ,4,long,2025-02-28 11:15:00,2025-02-28 16:55:00,340.0,20645.5,20905.75,20645.5,close_all_flatten,1041.0,2082.0
YM,1,long,2025-02-28 11:15:00,2025-02-28 16:55:00,340.0,43505.0,43845.0,43505.0,close_all_flatten,340.0,1700.0
MNQ,4,short,2025-03-03 11:00:00,2025-03-03 11:05:00,5.0,20900.5,20920.5,20900.5,stop_loss,-80.0,-160.0
YM,1,short,2025-03-03 11:00:00,2025-03-03 11:05:00,5.0,43980.0,43879.0,43980.0,profit_target,101.0,505.0
MNQ,4,short,2025-03-03 11:15:00,2025-03-03 11:20:00,5.0,20900.5,20920.5,20900.5,stop_loss,-80.0,-160.0
MNQ,4,short,2025-03-03 11:00:00,2025-03-03 16:55:00,355.0,20900.5,20519.5,20900.5,close_all_flatten,1524.0,3048.0
YM,1,short,2025-03-03 11:00:00,2025-03-03 16:55:00,355.0,43980.0,43322.0,43980.0,close_all_flatten,658.0,3290.0
MNQ,4,short,2025-03-03 11:15:00,2025-03-03 16:55:00,340.0,20900.5,20519.5,20900.5,close_all_flatten,1524.0,3048.0
MGC,5,long,2025-03-03 12:00:00,2025-03-03 16:55:00,295.0,2895.4,2904.3,2895.4,close_all_flatten,89.00000000000091,445.00000000000455
MNQ,4,short,2025-03-04 11:00:00,2025-03-04 11:05:00,5.0,20261.5,20179.5,20261.5,profit_target,328.0,656.0
YM,1,short,2025-03-04 11:00:00,2025-03-04 11:05:00,5.0,42988.0,42510.0,42988.0,profit_target,478.0,2390.0
MNQ,4,short,2025-03-04 11:40:00,2025-03-04 11:45:00,5.0,20261.5,20281.5,20261.5,stop_loss,-80.0,-160.0
MNQ,4,short,2025-03-04 11:00:00,2025-03-04 16:55:00,355.0,20261.5,20539.0,20261.5,close_all_flatten,-1110.0,-2220.0
YM,1,short,2025-03-04 11:00:00,2025-03-04 16:55:00,355.0,42988.0,42825.0,42988.0,close_all_flatten,163.0,815.0
MNQ,4,short,2025-03-04 11:40:00,2025-03-04 16:55:00,315.0,20261.5,20539.0,20261.5,close_all_flatten,-1110.0,-2220.0
MGC,5,short,2025-03-04 12:56:00,2025-03-04 16:55:00,239.0,2922.1,2928.9,2922.1,close_all_flatten,-68.00000000000182,-340.0000000000091
YM,1,long,2025-03-05 11:00:00,2025-03-05 11:05:00,5.0,42644.0,42619.0,42644.0,stop_loss,-25.0,-125.0
MNQ,4,short,2025-03-05 11:10:00,2025-03-05 11:30:00,20.0,20313.25,20253.25,20313.25,profit_target,240.0,480.0
YM,1,short,2025-03-05 11:25:00,2025-03-05 11:30:00,5.0,42516.0,42541.0,42516.0,stop_loss,-25.0,-125.0
MNQ,4,short,2025-03-05 11:55:00,2025-03-05 12:00:00,5.0,20313.25,20333.25,20313.25,stop_loss,-80.0,-160.0
YM,1,long,2025-03-05 11:00:00,2025-03-05 16:55:00,355.0,42644.0,43066.0,42644.0,close_all_flatten,422.0,2110.0
MNQ,4,short,2025-03-05 11:10:00,2025-03-05 16:55:00,345.0,20313.25,20603.5,20313.25,close_all_flatten,-1161.0,-2322.0
YM,1,short,2025-03-05 11:25:00,2025-03-05 16:55:00,330.0,42516.0,43066.0,42516.0,close_all_flatten,-550.0,-2750.0
MNQ,4,short,2025-03-05 11:55:00,2025-03-05 16:55:00,300.0,20313.25,20603.5,20313.25,close_all_flatten,-1161.0,-2322.0
MGC,5,long,2025-03-05 12:00:00,2025-03-05 16:55:00,295.0,2922.7,2929.2,2922.7,close_all_flatten,65.0,325.0
MNQ,4,long,2025-03-06 11:00:00,2025-03-06 11:05:00,5.0,20344.5,20451.75,20344.5,profit_target,429.0,858.0
YM,1,long,2025-03-06 11:00:00,2025-03-06 11:05:00,5.0,42726.0,42945.0,42726.0,profit_target,219.0,1095.0
MNQ,4,long,2025-03-06 11:35:00,2025-03-06 11:45:00,10.0,20344.5,20324.5,20344.5,stop_loss,-80.0,-160.0
YM,1,long,2025-03-06 11:50:00,2025-03-06 11:55:00,5.0,42726.0,42701.0,42726.0,stop_loss,-25.0,-125.0
MNQ,4,long,2025-03-06 11:00:00,2025-03-06 16:55:00,355.0,20344.5,20187.0,20344.5,close_all_flatten,-630.0,-1260.0
YM,1,long,2025-03-06 11:00:00,2025-03-06 16:55:00,355.0,42726.0,42672.0,42726.0,close_all_flatten,-54.0,-270.0
MNQ,4,long,2025-03-06 11:35:00,2025-03-06 16:55:00,320.0,20344.5,20187.0,20344.5,close_all_flatten,-630.0,-1260.0
YM,1,long,2025-03-06 11:50:00,2025-03-06 16:55:00,305.0,42726.0,42672.0,42726.0,close_all_flatten,-54.0,-270.0
MGC,5,long,2025-03-06 12:00:00,2025-03-06 16:55:00,295.0,2923.2,2919.1,2923.2,close_all_flatten,-40.99999999999909,-204.99999999999545
MNQ,4,short,2025-03-07 11:00:00,2025-03-07 11:05:00,5.0,20030.75,19970.75,20030.75,profit_target,240.0,480.0
YM,1,short,2025-03-07 11:20:00,2025-03-07 11:25:00,5.0,42404.0,42329.0,42404.0,profit_target,75.0,375.0
